2688,6517,1292,1689,948,2464,3412,1501,1856,592,1097,324,348,1100,7016,2713,6208,1598,2129,872,2587,3459,1482,1671,626,1117,437,406,1149,7430,89.441971,25,57
3045,6670,1483,1911,876,2367,3243,1823,1819,622,996,344,585,1526,8158,3043,6642,1574,2114,1022,2540,3562,1892,1685,543,1118,322,479,1278,8139,92.464363,42,40
3172,6809,1406,1826,959,2614,3573,2070,1704,553,1091,433,296,804,8046,3005,6873,1394,1853,974,2444,3418,1871,1686,571,1064,398,469,1346,7873,93.816734,51,31
2906,6585,1662,2195,991,2528,3519,1887,1772,717,1184,374,346,1041,7820,2757,6461,1453,1941,932,2461,3393,1607,1877,693,1298,421,425,1185,7392,93.224922,49,33
2914,6695,1467,1910,1097,2475,3572,1807,1767,656,1151,394,404,1075,7699,2857,6518,1474,1925,909,2368,3277,1630,1754,647,1159,427,338,1001,7526,91.892624,47,35
2967,6725,1320,1620,842,2376,3218,1800,1888,579,1114,255,606,1582,7860,2961,6478,1691,2193,935,2613,3548,1732,1630,627,1133,297,358,1053,7971,92.776955,37,45
2947,6763,1616,2079,958,2392,3350,1676,1888,696,1138,300,568,1590,8078,3007,6602,1648,2150,970,2596,3566,1837,1824,643,1285,407,405,1212,8067,95.013405,42,40
2975,6640,1748,2255,1042,2415,3457,1771,1804,844,1157,284,245,787,7943,2876,6363,1547,2035,908,2400,3308,1809,1884,639,1355,506,453,1278,7752,93.3927,48,34
3005,6776,1430,1928,1049,2440,3489,1719,1801,665,1165,404,394,1149,7834,2913,6658,1479,1933,1031,2486,3517,1824,1763,639,1240,446,436,1361,7741,93.42437,44,38
2987,6491,1450,1947,992,2378,3370,1860,1634,725,1185,316,379,1150,7803,2942,6540,1267,1659,913,2291,3204,1863,1670,681,1201,394,437,1285,7588,91.253426,50,32
3242,6990,1367,1832,900,2751,3651,2034,1666,735,1171,457,491,1288,8342,2991,7125,1454,1962,1145,2614,3759,1758,1635,684,1195,351,373,1166,7809,97.33786,59,23
2908,6297,1591,2194,939,2556,3495,1636,1672,629,1260,529,449,1270,7856,2862,6703,1334,1737,1029,2322,3351,1559,1914,665,1177,422,354,1043,7412,91.857811,60,22
2887,6599,1325,1780,963,2385,3348,1775,1713,679,1026,295,456,1291,7555,2871,6424,1351,1821,938,2462,3400,1703,1671,500,1158,410,472,1371,7565,89.995102,40,42
2847,6664,1350,1879,1023,2355,3378,1583,1761,609,1106,392,409,1193,7453,3037,6592,1490,1964,976,2601,3577,1729,1701,604,1079,403,370,986,7934,91.460609,24,58
2894,6189,1750,2349,1021,2381,3402,2103,1837,708,1304,467,224,641,7762,2751,6346,1627,2143,1011,2120,3131,1601,1950,723,1253,429,437,1251,7566,90.877747,47,35
2816,6394,1617,2077,917,2395,3312,1612,1644,621,1035,390,253,811,7502,2877,6507,1382,1792,949,2447,3396,1776,1804,612,1112,346,449,1242,7585,89.958359,37,45
2829,6529,1534,1976,997,2506,3503,1648,1826,627,1278,408,419,1248,7611,2968,6740,1574,2072,1048,2485,3533,1803,1699,731,1086,409,482,1345,7992,92.800003,28,54
2843,6415,1572,2095,851,2440,3291,1683,1837,770,1289,331,553,1599,7811,2894,6627,1587,2157,1070,2524,3594,1882,1819,719,1334,407,555,1534,7930,94.300003,36,46
2798,6753,1330,1834,1048,2519,3567,1793,1911,659,1249,394,429,1256,7355,2882,6611,1673,2238,1011,2682,3693,1890,1684,694,1190,442,439,1236,7876,93.800003,23,59
2922,6753,1528,2030,1118,2619,3737,1808,1742,585,1166,537,247,786,7619,2956,6759,1491,1990,970,2474,3444,1783,1655,635,1018,434,431,1162,7834,92.900002,35,47
3322,7230,1475,1854,1174,2538,3712,1963,1609,656,965,437,507,1456,8626,3133,6824,1462,1960,1009,2562,3571,1937,1689,582,1178,382,534,1471,8262,94.800003,52,30
2993,6763,1655,2159,1083,2387,3470,1794,1804,745,1201,520,331,985,7972,3019,6662,1470,2020,1056,2465,3521,1931,1895,664,1343,479,376,1056,7884,94.699997,43,39
2747,6315,1561,2074,1014,2492,3506,1702,1664,659,1179,570,333,969,7388,2633,6378,1287,1730,980,2353,3333,1561,1877,647,1209,410,356,1180,6909,89.199997,54,28
2875,6511,1470,2028,1002,2533,3535,1681,1691,576,1154,389,429,1283,7649,2948,6630,1399,1875,981,2532,3513,1762,1801,666,1101,417,414,1107,7709,91.400002,37,45
2738,6195,1371,1774,847,2647,3494,1579,1762,560,1295,443,515,1406,7362,2636,6405,1491,2024,908,2351,3259,1689,1694,710,1048,359,457,1227,7220,89.800003,45,37
2753,6322,1538,2014,965,2452,3417,1774,1709,726,1108,411,449,1281,7493,2671,6179,1350,1800,867,2423,3290,1649,1794,581,1242,513,329,1014,7021,88.800003,61,21
2817,6579,1808,2302,1149,2416,3565,1653,1816,594,1281,376,329,1024,7771,3075,6687,1545,2086,1033,2358,3391,1874,1861,693,1070,437,452,1256,8147,92.800003,28,54
3028,6676,1631,2352,1001,2535,3536,1948,1732,682,1096,379,365,1115,8052,2920,6640,1472,1964,922,2558,3480,1708,2023,616,1186,308,420,1247,7732,94.099998,56,26
2963,6657,1557,2143,1047,2381,3428,1915,1903,795,1180,565,447,1314,7930,2859,6550,1643,2150,1098,2508,3606,1674,1888,673,1319,461,369,1091,7730,93.300003,50,32
2729,6417,1459,1915,940,2459,3399,1565,1812,590,1076,313,485,1357,7402,2658,6206,1612,2100,893,2486,3379,1525,1728,578,1161,439,431,1256,7359,89.400002,42,40
2970,6650,1698,2192,960,2502,3462,1872,1667,554,1066,383,401,1145,8039,3034,6719,1428,1932,983,2521,3504,1870,1877,615,1115,405,456,1296,7952,93.199997,41,41
3033,6571,1361,1743,875,2645,3520,1890,1731,561,1004,462,326,897,7753,2741,6625,1426,1893,1001,2399,3400,1701,1653,547,1051,296,395,1181,7303,90.5,58,24
2813,6372,1398,1856,862,2473,3335,2009,1722,709,1157,322,377,1123,7401,2693,6303,1392,1830,874,2471,3345,1627,1739,656,1243,374,418,1193,7196,90.400002,47,35
2772,6605,1454,1937,1091,2418,3509,1716,1716,708,1155,346,531,1666,7529,2843,6443,1407,1877,972,2477,3449,1790,1734,613,1204,429,444,1301,7537,90.800003,41,41
2881,6513,1374,1732,950,2543,3493,1695,1897,608,1253,391,406,1115,7542,2785,6491,1678,2198,950,2444,3394,1676,1599,675,1079,384,415,1228,7663,91.599998,39,43
2904,6768,1474,2000,1003,2350,3353,1584,1744,547,1063,308,429,1248,7711,3169,6804,1458,1964,1072,2570,3642,2004,1691,625,1057,444,491,1301,8287,92.839996,21,61
2682,6260,1512,2009,941,2408,3349,1640,1701,654,1207,358,339,992,7215,2751,6369,1474,1982,996,2398,3394,1747,1757,678,1185,462,443,1329,7419,89.699997,33,49
2958,6671,1392,1865,924,2406,3330,1586,1862,734,1203,383,415,1202,7723,2975,6671,1601,2092,1038,2550,3588,1760,1589,649,1232,431,479,1374,8030,94,29,53
2898,6467,1263,1728,1040,2376,3416,1768,1554,613,1134,444,381,1102,7440,2954,6567,1219,1618,1016,2292,3308,1912,1533,657,1066,390,417,1222,7544,88.5,41,41
3103,6711,1626,2044,888,2492,3380,2152,1586,710,1107,325,601,1498,8433,3140,6921,1333,1780,1080,2521,3601,1743,1817,651,1175,413,409,1206,8022,94.400002,55,27
2842,6434,1409,2069,1028,2669,3697,1676,1667,661,1155,537,408,1140,7501,2613,6388,1372,1844,909,2459,3368,1419,1837,635,1194,381,311,951,6909,90.400002,57,25
2939,6590,1363,1782,907,2318,3225,1782,1783,661,1128,387,723,1936,7964,2980,6622,1570,2028,1068,2430,3498,1728,1658,629,1158,386,486,1394,8016,91.800003,37,45
2654,6348,1237,1650,830,2419,3249,1574,1748,604,1090,401,461,1294,7006,2722,6365,1536,2055,1034,2662,3696,1518,1619,590,1137,333,273,889,7253,88.800003,33,49
2690,6171,1639,2197,1103,2272,3375,1671,2095,583,1255,494,252,786,7271,2541,5879,1874,2431,868,2131,2999,1528,1999,666,1216,530,415,1209,7371,88.099998,42,40
2758,6556,1579,2211,1115,2392,3507,1537,1712,733,1371,406,433,1269,7528,3061,6741,1444,1874,1048,2520,3568,1966,1783,787,1269,446,424,1238,7990,94.099998,25,57
2942,6672,1417,1994,1100,2335,3435,1614,2009,629,1319,344,304,973,7605,3044,6389,1846,2396,902,2483,3385,1803,1777,716,1235,484,467,1232,8401,93.94873,13,69
3046,6511,1775,2323,909,2438,3347,1810,2000,667,1297,423,437,1252,8304,2960,6664,1825,2423,1039,2427,3466,1859,1937,714,1248,402,488,1370,8233,95.735855,45,37
2849,6592,1536,2048,1001,2591,3592,1743,2028,576,1371,369,511,1433,7745,2763,6548,1716,2305,979,2524,3503,1715,1914,685,1272,434,416,1245,7658,96.283737,47,35
2961,6859,1487,2096,1083,2335,3418,1794,1893,695,1192,440,320,881,7729,3015,6507,1748,2279,959,2586,3545,1768,1857,624,1304,446,442,1224,8220,96.20163,18,64
2990,6687,1634,2174,1117,2352,3469,1851,1850,654,1141,461,300,904,7914,2913,6444,1601,2135,938,2324,3262,1737,1770,549,1226,419,422,1122,7849,93.840187,42,40
3058,6691,1826,2314,990,2530,3520,1610,1827,708,1102,461,463,1273,8405,2941,6712,1601,2123,1072,2467,3539,1714,1898,584,1258,399,451,1366,7934,95.204948,58,24
3038,6615,1765,2313,967,2473,3440,1958,1878,750,1224,489,320,940,8161,2950,6606,1632,2189,975,2441,3416,1778,1960,636,1325,458,463,1342,7995,96.02964,49,33
2851,6421,1588,2150,1054,2507,3561,1787,1638,576,1133,497,363,1053,7653,2791,6496,1344,1790,928,2321,3249,1618,1851,610,1138,367,410,1213,7336,89.839737,54,28
3029,7039,1412,1955,1069,2436,3505,1811,1833,642,1112,420,624,1774,8094,3133,6838,1555,2087,1057,2771,3828,1858,1782,570,1231,417,450,1240,8271,95.689407,34,48
2846,6419,1551,1986,874,2601,3475,1733,1806,563,1135,378,553,1521,7796,2720,6423,1571,2116,892,2444,3336,1696,1773,607,1091,335,454,1343,7465,91.30323,51,31
2668,6169,1748,2206,868,2418,3286,1489,1889,615,1173,357,542,1575,7626,2768,6284,1637,2202,972,2416,3388,1540,1883,549,1177,398,391,1071,7564,90.938339,44,38
2924,6368,1770,2274,980,2455,3435,1901,1819,599,1290,422,231,669,7849,2936,6618,1555,2041,986,2255,3241,1732,1934,638,1128,393,485,1317,7912,91.881775,37,45
2895,6629,1661,2137,1028,2511,3539,1672,1793,508,1176,344,644,1814,8095,3141,6928,1507,1931,1023,2453,3476,2001,1814,627,968,420,549,1522,8338,94.820389,34,48
2802,6271,1526,2024,887,2307,3194,1716,1910,699,1197,476,531,1486,7661,2684,6215,1679,2179,993,2387,3380,1633,1852,612,1279,476,426,1215,7473,90.929123,45,37
3097,6368,1658,2466,887,2639,3526,1790,1814,528,1127,474,475,1260,8327,2865,6705,1621,2134,922,2397,3319,1620,2020,611,1048,264,441,1269,7792,92.870872,59,23
2964,6580,1720,2229,985,2405,3390,1720,1797,529,1132,289,325,925,7973,3098,6678,1559,2022,935,2413,3348,1953,1952,611,1087,370,463,1349,8218,93.594177,30,52
3045,6629,1449,1820,947,2580,3527,1918,1774,460,1079,447,395,1145,7934,2967,6776,1413,1880,1032,2359,3391,1783,1629,540,954,323,468,1291,7815,92.771713,44,38
2753,6419,1555,2039,855,2387,3242,1772,1984,650,1163,308,435,1203,7496,2710,6167,1714,2304,874,2503,3377,1666,1880,601,1303,402,485,1319,7619,91.83976,42,40
2718,6555,1401,1830,1019,2281,3300,1724,1883,550,1217,310,415,1316,7252,2847,6299,1644,2122,947,2485,3432,1742,1728,634,1182,452,494,1346,7832,90.471931,18,64
2978,6599,1580,2060,965,2393,3358,1665,1942,629,1204,260,441,1240,7977,3001,6454,1711,2264,969,2448,3417,1697,1736,602,1222,389,464,1276,8177,94.384277,33,49
3034,6679,1772,2335,1038,2544,3582,1583,1937,633,1322,441,320,916,8160,3081,6826,1739,2306,1024,2428,3452,1747,1920,698,1176,354,443,1291,8344,97.333916,36,46
2946,6736,1731,2194,909,2536,3445,1710,1878,756,1274,321,505,1453,8128,2930,6618,1764,2299,952,2663,3615,1878,1929,681,1372,383,565,1560,8189,97.40168,43,39
3351,7018,1556,2080,967,2652,3619,1927,1563,572,1125,453,796,2026,9054,3328,7485,1320,1775,1233,2550,3783,1741,1750,627,1108,342,494,1476,8470,98.47644,62,20
2896,6422,1409,1944,970,2404,3374,1722,1702,583,1307,544,420,1161,7621,3056,6842,1397,1851,1149,2312,3461,1923,1670,700,1098,414,440,1283,7949,92.568474,27,55
3203,6978,1577,2004,1023,2455,3478,2005,1684,674,1073,316,522,1396,8505,3186,6941,1485,2011,1102,2532,3634,1766,1761,622,1196,365,471,1318,8328,96.841805,50,32
2923,6450,1535,2120,987,2489,3476,1771,1716,613,1126,543,507,1395,7888,2712,6359,1501,1955,893,2403,3296,1385,1891,594,1246,421,323,881,7248,91.455696,59,23
2882,6498,1683,2131,1041,2311,3352,1487,1943,553,1113,338,666,1824,8113,2932,6382,1591,2124,930,2174,3104,1698,1948,508,1127,390,470,1317,7925,91.244949,52,30
2952,6656,1626,2101,844,2444,3288,1670,1875,621,1087,317,648,1681,8178,3133,6708,1610,2165,991,2720,3711,1814,1795,507,1188,360,435,1222,8311,95.012611,33,49
2828,6301,1719,2272,1047,2243,3290,1826,2189,541,1292,374,250,762,7625,2731,5965,2027,2653,859,2230,3089,1592,2057,646,1213,474,486,1297,7975,91.195145,26,56
2966,6794,1795,2476,1133,2374,3507,1563,1806,716,1173,347,514,1498,8241,3099,6748,1549,2034,1017,2510,3527,1885,1994,586,1276,412,521,1432,8268,96.008492,45,37
